epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,avg_grad_norm,avg_global_grad_norm,avg_max_grad_norm,max_global_grad_norm,epoch_time_seconds
1,1.8000000000000004e-05,0.4056710200674004,87.95833333333333,0.1239822761438511,95.44444444444444,0.6898008173380702,22.7301572893284,18.33794173699838,139.9586944580078,1435.2965450286865
2,2.6000000000000002e-05,0.2057684509621726,93.67592592592592,0.11658897874669896,96.0,0.5405417359364266,16.789107586012946,13.16237991280026,84.55673217773438,1219.7856376171112
3,3.4e-05,0.19343791825075946,94.02314814814815,0.08216796952817175,97.22222222222223,0.4666442174240621,14.74052870882882,11.651818635905231,118.07174682617188,901.6297922134399
4,4.2000000000000004e-05,0.16966153558826558,94.92592592592592,0.0787734849281885,97.5,0.41816530767366916,13.75738958840017,11.073006106372233,126.1926040649414,416.5096232891083
5,5e-05,0.1714102981629333,94.59722222222223,0.057895021296658175,98.18518518518519,0.3798577210420159,12.19612604384069,9.735463969928247,55.13199234008789,291.21659231185913
6,4.980286753286195e-05,0.15615606411946592,95.19907407407408,0.08134942800677554,97.55555555555556,0.3320989607978209,10.446038846373558,8.181403710632413,70.34805297851562,293.1001169681549
7,4.9214579028215776e-05,0.15296787177574717,95.19444444444444,0.07226087825959203,98.0,0.3080050646550609,9.532438700166013,7.396670736240016,52.53873062133789,294.0998215675354
8,4.8244412147206284e-05,0.14684707123613744,95.48148148148148,0.05869546602997515,98.20370370370371,0.28809414990192606,8.873383004974436,6.827647335308569,49.691383361816406,291.8793098926544
9,4.690766700109659e-05,0.13341231535068127,96.02314814814815,0.0644360416698166,98.20370370370371,0.28968684350337104,9.129969963751458,7.1095829173977725,53.43742752075195,323.2853829860687
10,4.522542485937369e-05,0.12090656440998256,96.31944444444444,0.09244168790686806,97.4074074074074,0.2689073499446749,8.516064616872205,6.630939656992753,73.86223602294922,288.21281385421753
11,4.3224215685535294e-05,0.11888886013257972,96.49074074074075,0.06398625594451679,97.9074074074074,0.2594116666927343,8.057730347078156,6.218126620650292,38.246253967285156,287.7844843864441
12,4.093559974371725e-05,0.11534052521447409,96.49537037037037,0.06444316790534045,98.20370370370371,0.24597516356930116,7.496151212942269,5.691319736493407,46.45896530151367,290.6237123012543
13,3.8395669874474915e-05,0.1037998189792658,96.92592592592592,0.0634207949244538,98.57407407407408,0.24114321697576205,7.434563839446615,5.6963523557726985,39.43228530883789,290.2723069190979
14,3.564448228912682e-05,0.09391530257296161,97.16666666666667,0.0644891778834992,98.35185185185185,0.23110404395727696,7.013247735930814,5.305735669323692,34.94792175292969,368.4052469730377
15,3.272542485937369e-05,0.09776670120302933,97.19444444444444,0.051035730177536605,98.64814814814815,0.2335331287497901,7.249245645559772,5.555732586402446,59.78709411621094,290.16876459121704
16,2.9684532864643122e-05,0.0927029383101035,97.18981481481481,0.052287648612120256,98.77777777777777,0.2287345396902556,6.883728510500104,5.174990453246843,66.0784912109375,291.31378626823425
17,2.656976298823284e-05,0.09057342157983739,97.37962962962963,0.043181285626530924,98.98148148148148,0.21072190573366648,6.338619637343067,4.74911803090324,43.531097412109375,289.2202880382538
18,2.3430237011767167e-05,0.07785467987578293,97.67129629629629,0.07499380044337293,98.27777777777777,0.21004509269469257,6.283161623574517,4.655447672765564,37.28188705444336,291.2764980792999
19,2.031546713535688e-05,0.0730342650843172,97.91666666666667,0.046527103604759625,98.94444444444444,0.20018321523629462,6.136112427472792,4.657746790066637,39.71856689453125,289.59789538383484
20,1.7274575140626318e-05,0.07551506777401772,97.88888888888889,0.05206151637279416,98.92592592592592,0.19491723787358767,5.962252607749154,4.497166454614036,60.438194274902344,292.5442273616791
21,1.4355517710873184e-05,0.07262860862766737,97.87037037037037,0.046961535457801934,98.81481481481481,0.19155173269126513,5.7413202113492625,4.289747733738687,40.8433723449707,290.9599666595459
22,1.1604330125525079e-05,0.06776748323871289,98.08333333333333,0.055836320774857694,98.77777777777777,0.1756261659699675,5.313810602372719,4.000537702871694,44.47023391723633,291.74722480773926
23,9.064400256282757e-06,0.05873564691916625,98.24074074074075,0.047580784819764195,98.96296296296296,0.166059101717737,4.947516316321713,3.691207657357747,39.655799865722656,291.7511978149414
24,6.775784314464717e-06,0.0593239763293079,98.27777777777777,0.048511291655474145,98.98148148148148,0.17149012551784465,5.099289852975074,3.7813858622117658,52.04742431640625,292.87909412384033
25,4.7745751406263165e-06,0.0536812913749492,98.43518518518519,0.05206374946448368,98.9074074074074,0.15693934595362222,4.663249148026937,3.445039850771427,39.30748748779297,292.0843994617462
26,3.0923329989034132e-06,0.05623732259134866,98.39814814814815,0.05053336055800847,99.0,0.1569178850495565,4.602664595111101,3.379260649103671,44.827510833740234,291.0655517578125
27,1.7555878527937164e-06,0.05284881100873463,98.41203703703704,0.05262081286465454,98.94444444444444,0.15916089672421174,4.775168772743394,3.5614192329443717,49.236820220947266,293.5806040763855
28,7.854209717842231e-07,0.05324750044857932,98.44907407407408,0.05097467557322051,98.96296296296296,0.15483838936529234,4.526238704768044,3.3059196164759084,37.65837097167969,293.72453904151917
29,1.9713246713805588e-07,0.05290465262477045,98.5,0.05054252852655972,98.98148148148148,0.15858272510454702,4.6725411745619585,3.4347634797384616,44.29922866821289,522.7045946121216
30,0.0,0.04990082629319254,98.60648148148148,0.05054252852655972,98.98148148148148,0.14533195170075638,4.32341813314913,3.1884873220338315,44.126686096191406,290.79059076309204
