epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,avg_grad_norm,avg_global_grad_norm,avg_max_grad_norm,max_global_grad_norm,epoch_time_seconds
1,1e-05,0.7314402446371537,75.56018518518519,0.2563369511233436,91.16666666666667,0.8374506360930493,22.15266498300596,14.45493768091555,75.21581955527336,401.3938536643982
2,2e-05,0.3522386342011116,88.50925925925925,0.18033951988374747,93.68518518518519,0.7562628542378531,21.751402884565195,15.886187186064543,68.15333874771018,319.2010004520416
3,3.0000000000000004e-05,0.2756821142412998,90.8425925925926,0.1449374451543446,95.05555555555556,0.6207000822145379,19.343119844300617,14.977604919009739,126.8954701805627,322.93108081817627
4,4e-05,0.24590557132606153,92.13425925925925,0.12734820291399956,95.83333333333333,0.49170491671539024,15.591773682377129,12.14533516186255,102.83177794511363,338.4758222103119
5,5e-05,0.2394747153904151,92.40277777777777,0.148212575868324,95.12962962962963,0.4313302648029855,13.645261257715303,10.571034433753402,86.60958278127876,345.9055984020233
6,4.980286753286195e-05,0.20971880658771153,93.16203703703704,0.1292717347363079,95.81481481481481,0.38131025791294776,12.224797280969637,9.528757958478398,62.0627365139725,321.8809621334076
7,4.9214579028215776e-05,0.18453915492597,94.01851851851852,0.11398193367429216,95.98148148148148,0.3379940131039713,10.843842571418111,8.428608079000755,47.935293772850166,325.703245639801
8,4.8244412147206284e-05,0.18310132909359203,94.20833333333333,0.11153134403025938,96.33333333333333,0.32124802401223845,10.320023689099562,8.006626287654594,36.74931234891673,328.4345428943634
9,4.690766700109659e-05,0.16593517190500817,94.68055555555556,0.0655627243069035,97.92592592592592,0.30092521988516585,9.593089276780368,7.407913776260835,38.7723091164283,326.0719184875488
10,4.522542485937369e-05,0.161289609728588,95.07870370370371,0.07628105950559042,97.61111111111111,0.28529888369062645,9.170609043185326,7.116569593659154,38.724222823299066,320.8442132472992
11,4.3224215685535294e-05,0.15249538740315646,95.3425925925926,0.08246190239209682,97.61111111111111,0.28033637244862364,9.194764527450179,7.194815641906526,47.372664784313045,319.15086126327515
12,4.093559974371725e-05,0.14484061254067693,95.36111111111111,0.08740328460724818,96.87037037037037,0.2642463714606735,8.458098281578819,6.50996936465855,30.51233424351297,322.7911717891693
13,3.8395669874474915e-05,0.13290754651340345,95.69444444444444,0.08002538922648118,97.70370370370371,0.25492348740736914,8.04130904197168,6.125043308900462,52.02627548350038,321.44500207901
14,3.564448228912682e-05,0.13342191226469974,95.87962962962963,0.05986019497495834,98.18518518518519,0.2610842263634963,8.525171786331445,6.636597655034728,46.83412903425956,333.6776080131531
15,3.272542485937369e-05,0.12542720583258887,96.32407407407408,0.056435437079829474,98.27777777777777,0.24648755370492323,7.8983451514691545,6.0613264351531315,48.260245842188304,318.087863445282
16,2.9684532864643122e-05,0.11189893227700075,96.44907407407408,0.05866975588896484,98.03703703703704,0.2445577242195214,7.909802435780875,6.109307288508172,59.84911917435352,319.2244508266449
17,2.656976298823284e-05,0.10142017046420801,96.9675925925926,0.059665978310319286,98.27777777777777,0.24588145446219872,7.823125024588688,5.968658244154519,37.883062451982596,320.6649763584137
18,2.3430237011767167e-05,0.09389620720883142,97.13425925925925,0.048576617259478316,98.61111111111111,0.22797490286980832,7.3777096123185135,5.695671427390642,53.94660529547012,320.0419189929962
19,2.031546713535688e-05,0.09967251586430292,97.04629629629629,0.05292449107719154,98.55555555555556,0.23253061643221118,7.51567695894312,5.796513008945794,60.11154684702535,321.9124553203583
20,1.7274575140626318e-05,0.08942451330902124,97.44444444444444,0.04797447207225896,98.68518518518519,0.21338471702802667,6.8167366948930805,5.210739093130385,53.93360996398842,342.61519837379456
21,1.4355517710873184e-05,0.0829109297110699,97.58796296296296,0.061712965088652844,98.38888888888889,0.2067397626946607,6.49511915138526,4.911928704643139,39.239556066522724,389.2792947292328
22,1.1604330125525079e-05,0.07779371548418162,97.73148148148148,0.05301308783871786,98.74074074074075,0.20711219966430783,6.620023880234722,5.048015567714142,49.04118743697129,321.27182388305664
23,9.064400256282757e-06,0.08233541179383691,97.61574074074075,0.053905149271794704,98.61111111111111,0.20979736469018606,6.662114522219649,5.0555412058504645,44.7397518788815,320.14573788642883
24,6.775784314464717e-06,0.06878948277621358,98.0324074074074,0.04669180724295546,98.83333333333333,0.1738867167910229,5.542105953275355,4.244000075315988,42.04560751052029,319.6332278251648
25,4.7745751406263165e-06,0.06979776859533525,97.92129629629629,0.0458063485684478,98.9074074074074,0.185082316844423,5.921805539456196,4.522390800616532,52.78687028241459,319.8127236366272
26,3.0923329989034132e-06,0.07128751518974442,97.89351851851852,0.0454863789177061,98.87037037037037,0.18242128424984558,5.858095772141286,4.483333418888765,71.31460690705921,321.5915868282318
27,1.7555878527937164e-06,0.06639656207579214,98.13425925925925,0.04726853512791826,98.88888888888889,0.1737256019122966,5.57192462068291,4.270236007335285,42.05027913500014,317.6555652618408
28,7.854209717842231e-07,0.06327827700730672,98.17592592592592,0.046809022694231116,98.83333333333333,0.17001646160014397,5.30953661690392,4.011451561211574,36.82053667499378,318.77782559394836
29,1.9713246713805588e-07,0.06303753329897989,98.20833333333333,0.04656592376472232,98.88888888888889,0.16667995141871067,5.309149377167736,4.052987017041003,39.89799007192666,318.7807385921478
30,0.0,0.061809470178473186,98.21296296296296,0.04656592376472232,98.88888888888889,0.17092049741842866,5.4230275680948665,4.117643469861812,42.51956684169699,318.5336661338806
