Model,Best Val Accuracy (%),Best Epoch,Best Val Loss,Final Val Accuracy (%),Maximum Global Gradient
Baseline Swin-T,99.0,26,0.0431812856265309,98.98148148148148,139.9586944580078
Swin-T 5x5 + SiLU,98.9074074074074,25,0.0454863789177061,98.88888888888889,126.8954701805627
